Rank,Coin Name,Symbol, Price ,1h,24h,7d,30d, 24h Volume ,Circulating Supply,Total Supply, Market Cap 
49,The Graph,GRT,0.14,1.30%,3.90%,7.90%,61.70%,"$100,683,146.00 ","9,313,462,072",10 Billion,"$1,312,701,409.00 "
50,Arbitrum,ARB,1,0.20%,-1.90%,-10.80%,19.00%,"$330,572,699.00 ","1,275,000,000",10 Billion,"$1,274,970,582.00 "
51,Render,RNDR,3.26,0.10%,-4.70%,31.40%,61.60%,"$193,668,334.00 ","374,243,313",531 Million,"$1,222,039,540.00 "
52,Rocket Pool ETH,RETH,"2,216.89",0.40%,2.10%,1.20%,21.30%,"$8,583,634.00 ","543,163",543 Thousand,"$1,204,093,923.00 "
53,Synthetix Network,SNX,3.43,0.00%,5.20%,25.40%,56.60%,"$234,273,155.00 ","326,492,861",327 Million,"$1,126,089,485.00 "
54,MultiversX,EGLD,42.35,0.50%,-1.40%,-9.70%,55.30%,"$35,420,729.00 ","26,234,462",26.2 Million,"$1,111,114,409.00 "
55,Algorand,ALGO,0.13,0.30%,-3.30%,-6.80%,36.70%,"$68,159,573.00 ","8,006,088,059",8.01 Billion,"$1,031,403,193.00 "
56,Flow,FLOW,0.62,0.90%,-4.10%,-8.30%,36.30%,"$40,621,841.00 ","1,471,201,014",1.47 Billion,"$918,473,679.00 "
57,Theta Network,THETA,0.9,0.30%,-2.70%,-4.80%,46.10%,"$19,679,426.00 ","1,000,000,000",1 Billion,"$904,181,803.00 "
58,Bitcoin SV,BSV,45.56,0.00%,-4.20%,-5.50%,-9.90%,"$38,623,645.00 ","19,558,969",21 Million,"$891,592,427.00 "
59,Stacks,STX,0.61,0.00%,-2.90%,-4.10%,-6.20%,"$23,968,051.00 ","1,421,837,341",1.82 Billion,"$861,520,742.00 "
60,Fantom,FTM,0.29,0.30%,-5.00%,-9.90%,29.00%,"$118,565,089.00 ","2,803,634,836",3.18 Billion,"$816,602,455.00 "
61,Celestia,TIA,5.67,-1.30%,3.00%,-9.90%,,"$277,779,060.00 ","141,043,528",1 Billion,"$800,895,863.00 "
62,The Sandbox,SAND,0.38,0.50%,-4.40%,-11.40%,23.40%,"$84,248,957.00 ","2,095,031,926",3 Billion,"$795,605,412.00 "
63,WhiteBIT Coin,WBT,5.43,0.20%,-0.20%,0.30%,1.00%,"$4,962,253.00 ","144,118,517",364 Million,"$781,967,174.00 "
64,Axie Infinity,AXS,5.73,0.60%,-3.80%,-9.20%,28.50%,"$75,366,667.00 ","132,455,907",270 Million,"$759,117,194.00 "
65,Bitget Token,BGB,0.54,-0.10%,-0.50%,2.20%,26.20%,"$18,555,030.00 ","1,400,001,000",2 Billion,"$751,366,014.00 "
66,EOS,EOS,0.66,0.20%,-5.20%,-7.50%,17.10%,"$143,253,351.00 ","1,128,814,640",âˆž,"$747,701,037.00 "
67,NEO,NEO,10.45,0.00%,-4.10%,-11.10%,39.40%,"$71,702,628.00 ","70,530,000",100 Million,"$737,334,727.00 "
68,Decentraland,MANA,0.39,0.30%,-3.60%,-10.90%,28.70%,"$76,455,578.00 ","1,846,989,999",2.19 Billion,"$727,276,330.00 "
69,USDD,USDD,1,0.10%,0.00%,-0.20%,-0.40%,"$52,709,280.00 ","725,332,026",âˆž,"$722,016,186.00 "
70,KuCoin,KCS,7.39,0.30%,2.70%,22.30%,63.40%,"$305,244.00 ","96,732,986",144 Million,"$713,536,051.00 "
71,Tezos,XTZ,0.78,0.50%,-4.90%,-9.40%,16.20%,"$39,672,111.00 ","891,685,800",982 Million,"$697,688,139.00 "
72,Kava,KAVA,0.72,0.20%,-2.90%,-10.90%,21.50%,"$15,416,391.00 ","955,123,860",955 Million,"$692,555,026.00 "
73,XDC Network,XDC,0.05,0.10%,-2.50%,-3.90%,3.00%,"$14,086,676.00 ","13,879,047,556",37.9 Billion,"$683,675,610.00 "
74,First Digital USD,FDUSD,1,0.40%,-1.60%,-0.20%,-0.40%,"$308,208,163.00 ","679,938,968",680 Million,"$677,957,072.00 "
75,Frax,FRAX,1,0.10%,-0.20%,0.00%,-0.10%,"$16,908,853.00 ","670,673,781",671 Million,"$668,594,922.00 "
76,GALA,GALA,0.02,0.40%,-7.60%,-0.50%,68.40%,"$957,729,823.00 ","28,064,109,097",28.1 Billion,"$657,956,871.00 "
77,Klaytn,KLAY,0.19,-1.80%,8.40%,14.90%,55.30%,"$37,282,005.00 ","3,271,052,184",âˆž,"$633,012,159.00 "
78,Pyth Network,PYTH,0.42,5.40%,25.80%,,,"$182,645,148.00 ","1,500,000,000",10 Billion,"$624,040,526.00 "
79,Mina Protocol,MINA,0.61,-0.20%,-4.20%,-0.40%,44.10%,"$30,911,301.00 ","1,005,962,475",1.1 Billion,"$613,637,583.00 "
80,dYdX,ETHDYDX,3.39,-0.50%,12.70%,-17.40%,65.20%,"$650,791,208.00 ","180,263,183",1 Billion,"$611,927,904.00 "
81,Radix,XRD,0.06,0.10%,10.00%,31.20%,36.40%,"$4,720,693.00 ","10,305,310,076",12.7 Billion,"$594,573,578.00 "
82,Illuvium,ILV,98.09,1.30%,0.70%,7.50%,140.70%,"$44,179,670.00 ","6,054,182",9.61 Million,"$593,859,683.00 "
83,Frax Ether,FRXETH,"2,011.16",0.00%,0.90%,0.70%,20.50%,"$1,636,206.00 ","293,311",293 Thousand,"$589,714,024.00 "
84,Tokenize Xchange,TKX,7.26,0.20%,-0.30%,7.50%,33.20%,"$11,118,952.00 ","79,996,000",100 Million,"$581,063,456.00 "
85,Gate,GT,4.23,0.10%,-0.10%,2.00%,11.70%,"$1,844,147.00 ","136,232,297",300 Million,"$576,366,923.00 "
86,Cheelee,CHEEL,10.54,0.10%,0.50%,4.10%,13.60%,"$4,901,555.00 ","53,838,100",1 Billion,"$566,375,017.00 "
87,WEMIX,WEMIX,1.74,-0.20%,-2.10%,-2.70%,70.30%,"$4,792,920.00 ","325,164,508",978 Million,"$565,201,516.00 "
88,Blur,BLUR,0.51,10.60%,36.40%,43.20%,175.40%,"$296,654,526.00 ","1,097,706,662",3 Billion,"$557,830,938.00 "
89,Fetch.ai,FET,0.53,0.70%,2.90%,27.90%,124.90%,"$231,395,614.00 ","1,043,462,805",1.15 Billion,"$554,167,062.00 "
90,PancakeSwap,CAKE,2.36,0.40%,-9.10%,-11.60%,105.50%,"$218,610,934.00 ","234,093,308",390 Million,"$551,222,280.00 "
91,eCash,XEC, $-   ,0.20%,-3.60%,-8.90%,3.00%,"$5,746,712.00 ","19,558,792,173,093",21 Trillion,"$547,827,392.00 "
92,Rocket Pool,RPL,27.48,1.50%,3.00%,-4.60%,34.40%,"$4,951,292.00 ","19,842,347",19.8 Million,"$543,831,667.00 "
93,IOTA,IOTA,0.17,0.90%,-3.90%,-7.60%,15.60%,"$9,356,115.00 ","3,018,990,414",4.6 Billion,"$524,134,088.00 "
94,ApeCoin,APE,1.41,2.20%,-1.60%,-1.50%,27.10%,"$94,043,016.00 ","368,593,750",1 Billion,"$519,249,794.00 "
95,Frax Share,FXS,6.89,1.10%,0.80%,-11.30%,24.30%,"$41,991,658.00 ","75,282,183",99.7 Million,"$518,775,048.00 "
96,Sui,SUI,0.53,1.20%,-1.20%,-9.90%,33.60%,"$89,479,970.00 ","965,577,711",10 Billion,"$515,742,654.00 "
97,Conflux,CFX,0.15,0.10%,-3.30%,-9.60%,33.30%,"$38,357,640.00 ","3,457,624,900",5.44 Billion,"$511,998,453.00 "
98,Arweave,AR,7.75,1.10%,-0.50%,3.90%,85.40%,"$21,507,079.00 ","65,454,186",65.5 Million,"$507,054,552.00 "
99,Curve DAO,CRV,0.55,1.00%,-2.00%,-6.20%,21.20%,"$89,138,351.00 ","919,601,447",2.04 Billion,"$505,666,551.00 "
100,Rollbit Coin,RLB,0.16,-2.30%,-6.70%,-30.40%,3.70%,"$8,526,016.00 ","3,081,146,040",3.08 Billion,"$504,641,576.00 "
101,Gnosis,GNO,194.21,-0.40%,2.30%,12.20%,91.50%,"$4,313,295.00 ","2,589,589",3 Million,"$502,800,406.00 "
102,Chiliz,CHZ,0.07,0.40%,-3.80%,-9.60%,11.90%,"$89,888,764.00 ","6,975,647,158",8.89 Billion,"$492,800,669.00 "
103,cETH,CETH,40.73,0.50%,2.10%,1.00%,21.50%,$755.00 ,"12,090,449",12.1 Million,"$492,425,783.00 "
104,Gas,GAS,7.55,-0.40%,-7.20%,-14.70%,164.90%,"$40,387,487.00 ","65,093,581",65.1 Million,"$491,554,522.00 "
105,Tether Gold,XAUT,"1,983.96",-0.30%,-0.70%,1.30%,0.40%,"$9,019,407.00 ","246,524",247 Thousand,"$489,695,345.00 "
106,GMX,GMX,50.69,0.30%,1.50%,-4.30%,24.70%,"$39,938,256.00 ","9,217,002",9.22 Million,"$467,151,285.00 "
107,Trust Wallet,TWT,1.12,0.90%,-5.30%,-8.20%,9.30%,"$54,485,652.00 ","416,649,900",1 Billion,"$465,421,402.00 "
108,Huobi,HT,2.92,0.00%,-3.10%,0.80%,27.20%,"$41,079,553.00 ","159,406,077",201 Million,"$464,588,205.00 "
109,PAX Gold,PAXG,"1,976.30",-0.10%,-0.30%,1.60%,0.70%,"$13,032,976.00 ","232,987",233 Thousand,"$460,404,147.00 "
110,Pepe,PEPE, $-   ,0.20%,-2.70%,-9.50%,45.30%,"$79,609,116.00 ","420,690,000,000,000",421 Trillion,"$454,089,716.00 "
111,Pax Dollar,USDP,1,0.10%,0.00%,0.00%,-0.10%,"$3,387,487.00 ","448,212,766",448 Million,"$447,356,828.00 "
112,ORDI,ORDI,21.19,0.20%,0.50%,-5.10%,435.50%,"$201,703,622.00 ","21,000,000",21 Million,"$445,592,225.00 "
113,Staked Frax Ether,SFRXETH,"2,159.99",0.60%,1.70%,1.10%,21.20%,"$921,580.00 ","205,820",206 Thousand,"$444,561,266.00 "
114,cWBTC,CWBTC,731.94,-0.20%,0.30%,1.10%,18.50%, $-   ,"602,088",602 Thousand,"$440,695,054.00 "
115,BitTorrent,BTT, $-   ,0.60%,-3.40%,-6.40%,17.90%,"$31,884,699.00 ","951,421,714,286,000",990 Trillion,"$432,507,003.00 "
116,Terra Luna Classic,LUNC, $-   ,0.70%,-1.90%,-10.40%,24.70%,"$33,630,926.00 ","5,803,126,436,839",6.83 Trillion,"$420,059,976.00 "
117,Coinbase Wrapped Staked ETH,CBETH,"2,135.10",0.20%,1.30%,0.90%,21.00%,"$3,974,549.00 ","195,572",1.33 Million,"$417,495,503.00 "
118,NEXO,NEXO,0.74,0.20%,-0.50%,-1.20%,27.60%,"$4,512,144.00 ","560,000,010",1 Billion,"$414,359,635.00 "
119,Kujira,KUJI,3.38,-2.00%,-1.40%,-4.10%,163.60%,"$2,451,272.00 ","122,349,807",122 Million,"$413,786,827.00 "
120,Zcash,ZEC,28.19,0.50%,-1.50%,-6.10%,7.70%,"$42,818,122.00 ","14,435,666",21 Million,"$407,030,960.00 "
121,Osmosis,OSMO,0.62,-0.40%,-2.20%,-4.50%,156.30%,"$17,174,602.00 ","628,638,059",1 Billion,"$387,368,849.00 "
122,WOO Network,WOO,0.22,0.00%,-2.30%,-14.80%,15.80%,"$22,740,864.00 ","1,772,540,815",2.23 Billion,"$382,123,712.00 "
123,STEPN,GMT,0.27,1.20%,-0.90%,7.80%,78.80%,"$152,470,737.00 ","1,381,830,966",5.37 Billion,"$379,924,165.00 "
124,Beam,BEAM,0.01,-0.40%,1.10%,15.30%,,"$19,701,799.00 ","44,457,670,333",62.8 Billion,"$377,630,264.00 "
125,Casper Network,CSPR,0.03,-0.30%,-4.10%,-7.40%,5.50%,"$6,869,496.00 ","11,476,826,594",12.2 Billion,"$370,704,819.00 "
126,Akash Network,AKT,1.66,-0.60%,7.10%,71.20%,90.50%,"$8,343,178.00 ","221,870,453",222 Million,"$369,098,266.00 "
127,Terra,LUNA,0.63,1.20%,3.80%,-18.00%,52.00%,"$94,707,227.00 ","584,959,462",1.08 Billion,"$367,720,438.00 "
128,1inch,1INCH,0.34,0.50%,-1.50%,-6.00%,28.20%,"$30,902,018.00 ","1,040,979,121",1.5 Billion,"$356,400,022.00 "
129,SingularityNET,AGIX,0.29,-0.20%,0.40%,14.70%,56.20%,"$100,368,709.00 ","1,241,997,271",1.35 Billion,"$354,623,894.00 "
130,Aleph Zero,AZERO,1.41,0.20%,3.30%,1.10%,87.00%,"$3,996,914.00 ","248,759,366",347 Million,"$351,742,872.00 "
131,Oasis Network,ROSE,0.07,1.50%,1.20%,-2.00%,60.90%,"$47,924,568.00 ","5,029,357,184",10 Billion,"$348,498,824.00 "
132,Zilliqa,ZIL,0.02,0.00%,-5.00%,-7.10%,14.00%,"$29,390,307.00 ","17,324,063,149",18.4 Billion,"$348,448,907.00 "
133,Compound,COMP,49.82,0.80%,-1.00%,-13.90%,12.40%,"$76,160,559.00 ","6,856,086",10 Million,"$341,293,871.00 "
134,Astar,ASTR,0.06,1.30%,-0.40%,-6.60%,49.10%,"$18,127,493.00 ","5,364,861,787",8.27 Billion,"$340,646,665.00 "
135,Dash,DASH,28.55,0.40%,-5.60%,-9.90%,8.30%,"$64,333,700.00 ","11,548,029",18.9 Million,"$329,669,773.00 "
136,Marinade staked SOL,MSOL,62.95,0.30%,-0.70%,-11.40%,88.80%,"$19,758,667.00 ","5,232,842",5.23 Million,"$329,403,979.00 "
137,FLOKI,FLOKI, $-   ,0.10%,5.10%,-7.50%,24.90%,"$31,010,623.00 ","9,941,648,926,283",10 Trillion,"$322,471,019.00 "
138,Huobi BTC,HBTC,"35,440.60",0.20%,-8.40%,-9.40%,16.70%,"$20,815,998.00 ","8,969",8.97 Thousand,"$317,883,847.00 "
139,Sei,SEI,0.17,5.40%,8.10%,3.70%,66.40%,"$89,515,149.00 ","1,800,000,000",10 Billion,"$313,952,989.00 "
140,Qtum,QTUM,2.99,0.20%,-3.10%,-5.70%,26.00%,"$26,285,225.00 ","104,915,108",108 Million,"$313,798,983.00 "
141,Flare,FLR,0.01,1.10%,0.60%,-1.20%,20.20%,"$9,635,288.00 ","28,717,986,141",101 Billion,"$313,376,637.00 "
142,NEM,XEM,0.03,0.50%,-4.30%,-3.10%,24.10%,"$4,903,551.00 ","8,999,999,999",9 Billion,"$310,280,518.00 "
143,Axelar,AXL,0.64,0.50%,-0.40%,46.40%,102.40%,"$19,049,590.00 ","478,717,140",1.12 Billion,"$308,367,748.00 "
144,APENFT,NFT, $-   ,-0.30%,-0.40%,-2.70%,-5.30%,"$6,821,827.00 ","990,105,682,877,398",1 Quadrillion,"$305,485,532.00 "
145,Helium,HNT,2.1,1.10%,3.10%,2.00%,43.10%,"$1,729,019.00 ","143,934,821",223 Million,"$302,380,380.00 "
146,Basic Attention,BAT,0.2,0.70%,-4.70%,-11.30%,4.00%,"$46,516,507.00 ","1,490,413,701",1.5 Billion,"$300,902,174.00 "
147,Worldcoin,WLD,2.58,2.70%,7.70%,11.30%,70.50%,"$195,902,550.00 ","116,419,383",10 Billion,"$300,460,340.00 "
148,MX,MX,2.89,0.40%,-0.90%,-0.50%,8.30%,"$3,099,709.00 ","100,631,536",432 Million,"$290,921,348.00 "
149,Convex Finance,CVX,3.53,0.30%,-2.30%,-6.10%,32.30%,"$7,360,740.00 ","81,990,704",99.2 Million,"$289,188,709.00 "
150,Beldex,BDX,0.05,-0.60%,-3.50%,4.90%,57.40%,"$2,697,484.00 ","5,911,883,992",9.92 Billion,"$285,353,693.00 "
151,SKALE,SKL,0.06,-1.00%,7.90%,91.40%,155.50%,"$189,183,585.00 ","5,001,811,004",5.18 Billion,"$284,224,078.00 "
152,Bitcoin Gold,BTG,15.76,-0.30%,-2.80%,-3.90%,8.80%,"$3,412,873.00 ","17,513,924",21 Million,"$275,864,225.00 "
153,ARK,ARK,1.55,-0.60%,-3.00%,-5.10%,252.00%,"$83,527,438.00 ","177,080,512",âˆž,"$274,980,204.00 "
154,CorgiAI,CORGIAI, $-   ,-1.20%,-0.60%,-6.60%,1278.00%,"$1,336,519.00 ","277,312,793,789",373 Billion,"$271,721,792.00 "
155,Mask Network,MASK,3.28,0.00%,-4.80%,-5.40%,21.30%,"$116,522,963.00 ","82,112,500",100 Million,"$269,076,649.00 "
156,SafePal,SFP,0.64,0.00%,-4.40%,-4.80%,0.00%,"$9,425,285.00 ","420,833,333",500 Million,"$268,693,602.00 "
157,JUST,JST,0.03,0.00%,-4.00%,-9.40%,18.30%,"$46,697,586.00 ","8,902,080,000",9.9 Billion,"$267,779,250.00 "
158,Theta Fuel,TFUEL,0.04,0.60%,-5.90%,-6.90%,17.90%,"$3,023,182.00 ","6,356,158,193",6.36 Billion,"$263,645,121.00 "
159,yearn.finance,YFI,"7,919.26",0.00%,-2.00%,-28.00%,40.90%,"$94,564,990.00 ","33,231",36.7 Thousand,"$263,249,291.00 "
160,Enjin Coin,ENJ,0.26,0.10%,-2.70%,-6.00%,18.40%,"$21,236,788.00 ","1,000,000,000",1 Billion,"$261,781,224.00 "
161,Holo,HOT, $-   ,0.20%,-3.80%,-8.00%,20.10%,"$13,637,575.00 ","177,619,433,541",178 Billion,"$260,045,999.00 "
162,Celo,CELO,0.5,0.50%,-2.90%,-9.00%,13.60%,"$17,258,060.00 ","518,357,311",1 Billion,"$259,996,224.00 "
163,OKT Chain,OKT,14.05,0.30%,3.60%,5.30%,25.70%,"$3,539,810.00 ","17,847,480",17.8 Million,"$250,727,962.00 "
164,Loopring,LRC,0.2,0.00%,-6.00%,-14.50%,15.30%,"$27,732,526.00 ","1,245,991,469",1.37 Billion,"$250,586,765.00 "
165,Fasttoken,FTN,1.21,0.10%,-0.50%,-0.30%,9.70%,"$23,076,336.00 ","203,631,292",880 Million,"$246,576,328.00 "
166,Lido Staked SOL,STSOL,62.78,0.90%,-1.00%,-11.40%,89.30%,"$3,112,861.00 ","3,900,412",3.9 Million,"$244,698,790.00 "
167,JasmyCoin,JASMY, $-   ,-0.50%,-4.30%,-3.90%,53.90%,"$41,879,744.00 ","48,419,999,999",50 Billion,"$240,944,245.00 "
168,Ankr Network,ANKR,0.02,-0.70%,-5.40%,-7.40%,12.50%,"$24,203,867.00 ","10,000,000,000",10 Billion,"$239,631,758.00 "
169,Chia,XCH,26.23,0.00%,0.80%,-3.50%,13.30%,"$18,151,230.00 ","9,111,290",30.1 Million,"$238,989,456.00 "
170,Golem,GLM,0.23,-0.30%,-3.80%,-17.60%,12.40%,"$7,515,162.00 ","1,000,000,000",1 Billion,"$234,464,388.00 "
171,ICON,ICX,0.24,-0.10%,-7.90%,-13.70%,23.40%,"$5,642,526.00 ","972,705,137",986 Million,"$232,582,348.00 "
172,Siacoin,SC, $-   ,-1.90%,-3.00%,4.10%,44.00%,"$13,131,723.00 ","51,477,015,000",-,"$231,275,248.00 "
173,Tellor Tributes,TRB,92.02,1.60%,2.70%,5.50%,7.60%,"$36,643,736.00 ","2,512,060",2.56 Million,"$231,131,361.00 "
174,Escoin,ELG,1.02,0.00%,0.30%,0.90%,-17.40%,"$492,564.00 ",0,250 Million,"$230,657,457.00 "
175,Decred,DCR,14.3,0.40%,-4.20%,-3.00%,16.50%,"$1,442,556.00 ","15,657,542",21 Million,"$224,102,764.00 "
176,Ronin,RON,0.82,0.40%,-0.60%,2.60%,92.30%,"$4,388,534.00 ","271,008,046",1 Billion,"$220,915,813.00 "
177,Echelon Prime,PRIME,7.49,0.60%,9.00%,16.10%,117.30%,"$8,629,831.00 ","28,703,507",111 Million,"$214,900,193.00 "
178,DeFiChain,DFI,0.25,0.00%,-1.40%,-10.00%,-8.00%,"$4,357,712.00 ","831,691,686",1.2 Billion,"$211,350,854.00 "
179,Ethereum Name Service,ENS,8.17,0.70%,-3.10%,-6.80%,11.80%,"$29,030,115.00 ","25,783,233",100 Million,"$210,737,580.00 "
180,aelf,ELF,0.46,0.10%,-4.90%,1.30%,29.40%,"$13,393,136.00 ","461,329,999",880 Million,"$210,325,146.00 "
181,IoTeX,IOTX,0.02,0.90%,-5.70%,-10.90%,15.70%,"$11,358,900.00 ","9,442,543,017",9.5 Billion,"$209,680,573.00 "
182,Kusama,KSM,23.27,0.70%,-1.70%,-7.70%,29.60%,"$16,146,518.00 ","8,980,098",10 Million,"$209,011,232.00 "
